Tide Gauge Name,Latitude,Longitude,Start Year,End Year,Mean Amplitude (cm),Minimum Amplitude (cm),Maximum Amplitude (cm),Std of Amplitude (cm),Ratio: Mean/Max,Trends Post-1970 (mm/yr),Significant,Phase Mean (degrees),Phase Circular Std (degrees),ENSO,SigENSO,NAO,SigNAO,AMO,SigAMO,PDO,SigPDO,,,,,
'BREST',48.38,-4.49,1848,2016,5.16,1.77,8.78,1.37,0.59,0.07,NaN,322.44,19.49,2.64,1,0.67,NaN,-1.93,NaN,1.49,NaN,,,,,
'SAN_FRANCISCO',37.81,-122.47,1856,2017,3.62,0.84,6.81,1.15,0.53,-0.01,NaN,287.71,26.59,4.34,1,1.54,NaN,-2.10,1,1.85,NaN,,,,,
'SAN_JUAN',18.46,-66.12,1964,2017,5.51,3.22,7.26,0.75,0.76,0.02,NaN,266.27,7.27,-0.04,NaN,1.05,NaN,-1.86,1,-0.66,NaN,,,,,
'HONNGU',18.80,105.77,1964,2011,13.79,7.95,18.89,2.34,0.73,-0.15,NaN,302.11,6.48,0.49,NaN,-0.80,NaN,2.15,NaN,1.44,NaN,,,,,
'PESCHANYI__PESCHANYI_MYS_',79.43,102.48,1964,1990,5.01,0.08,8.03,1.75,0.62,-2.14,1,257.27,28.45,-2.20,NaN,0.15,NaN,1.64,NaN,-2.26,NaN,,,,,
'WONSAN',39.17,127.45,1964,1990,15.63,13.36,17.48,1.15,0.89,1.20,1,214.97,3.29,-1.41,NaN,-0.39,NaN,1.49,NaN,0.39,NaN,,,,,
'KRENKELIA__HEISA_OSTROV_',80.62,58.05,1964,1997,6.34,2.76,9.10,1.33,0.70,-1.20,1,295.19,21.70,-3.74,1,2.62,NaN,-3.52,1,-2.88,NaN,,,,,
'ONISAKI',34.90,136.82,1965,2016,13.65,10.32,16.34,1.23,0.84,-0.23,NaN,231.02,4.76,-0.05,NaN,0.62,NaN,-3.78,1,-0.26,NaN,,,,,
'OSHORO_II',43.21,140.86,1965,2016,9.57,7.38,11.55,0.77,0.83,-0.15,NaN,238.87,5.20,-0.95,NaN,0.48,NaN,-2.59,1,-1.74,1,,,,,
'HIROSIMA',34.35,132.46,1966,2016,16.88,14.56,18.50,0.83,0.91,-0.08,NaN,231.07,3.03,-1.88,NaN,-0.64,NaN,-2.89,1,-1.44,NaN,,,,,
'ILHA_FISCAL',-22.90,-43.17,1965,2014,5.78,3.14,9.06,1.13,0.64,-0.03,NaN,112.78,17.16,-1.44,NaN,-0.04,NaN,-3.28,1,-4.73,1,,,,,
'TAI_PO_KAU__TOLO_HARBOUR',22.44,114.18,1965,2016,11.48,7.86,14.25,1.29,0.81,0.15,NaN,300.56,9.09,-4.27,1,-1.32,NaN,1.02,NaN,-1.71,NaN,,,,,
'BORKUM__FISCHERBALJE_',53.56,6.75,1965,2014,10.77,5.97,15.21,1.98,0.71,-0.85,1,300.00,18.33,-1.16,NaN,1.34,NaN,-3.18,1,-2.16,NaN,,,,,
'PORT_MANSFIELD',26.55,-97.42,1965,1995,5.73,3.36,8.43,1.30,0.68,-0.48,NaN,225.00,20.38,-1.62,NaN,-1.01,NaN,-0.94,NaN,-1.43,NaN,,,,,
'CAGLIARI',39.20,9.17,1899,1932,6.26,4.79,10.02,0.95,0.62,NaN,NaN,260.86,7.86,1.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'MIYAKE_SIMA',34.07,139.48,1966,1997,10.93,0.38,21.94,5.00,0.50,-4.39,1,247.87,20.81,-4.33,NaN,1.04,NaN,-5.63,NaN,-18.84,1,,,,,
